"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLACBUS","199204","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199205","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199206","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199207","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199208","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199209","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199210","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199211","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199212","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199213","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199301","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199302","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199303","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199304","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199305","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199306","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199307","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199308","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199309","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199310","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199311","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199312","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199313","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199401","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199402","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199403","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199404","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199405","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199406","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199407","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199408","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199409","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199410","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199411","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199412","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199413","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199501","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199502","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199503","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199504","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199505","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199506","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199507","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199508","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199509","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199510","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199511","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199512","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199513","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199601","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199602","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199603","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199604","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199605","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199606","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199607","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199608","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199609","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
